Group,AssessmentPeriod,Scientists often need to educate the general public on important issues,Scientists usually work in teams,Scientists usually engage well with the general public,Scientists get high salaries,Scientists are usually financially poor,It's hard to get a job as a scientist,Scientists are antisocial people,Scientists are tedious people
CTRL,BEFORE,5,3,4,3,4,4,4,2
CTRL,BEFORE,2,3,2,4,2,4,2,5
CTRL,BEFORE,5,3,2,3,4,4,4,2
CTRL,BEFORE,2,4,3,2,2,4,4,3
CTRL,BEFORE,2,3,4,2,3,2,2,3
CTRL,BEFORE,3,3,2,2,4,4,4,3
CTRL,BEFORE,4,3,2,4,3,4,2,3
CTRL,BEFORE,2,3,3,2,2,2,4,2
CTRL,BEFORE,4,2,2,4,3,2,3,3
CTRL,BEFORE,3,3,3,3,4,4,4,1
CTRL,BEFORE,4,4,4,3,2,4,4,2
CTRL,BEFORE,3,3,4,4,2,3,3,3
CTRL,BEFORE,2,4,3,4,4,4,2,2
CTRL,BEFORE,2,2,2,3,3,2,2,4
CTRL,BEFORE,5,3,4,3,3,3,4,4
CTRL,BEFORE,4,2,4,4,2,2,3,2
CTRL,BEFORE,4,3,2,4,3,4,4,3
CTRL,BEFORE,2,4,2,3,4,2,4,4
CTRL,BEFORE,4,4,3,4,4,2,4,4
CTRL,BEFORE,2,4,2,2,2,3,3,4
CTRL,BEFORE,4,2,4,4,4,4,3,2
CTRL,BEFORE,3,3,3,2,4,2,1,1
CTRL,BEFORE,4,2,2,3,4,2,3,3
CTRL,BEFORE,2,4,2,4,4,4,3,2
CTRL,BEFORE,2,4,3,3,3,3,3,4
CTRL,BEFORE,3,3,2,3,4,3,3,4
CTRL,BEFORE,4,4,3,2,1,2,3,2
CTRL,BEFORE,4,4,3,2,4,3,4,4
CTRL,BEFORE,4,4,2,4,4,4,2,4
CTRL,BEFORE,3,3,2,4,4,2,3,3
CTRL,BEFORE,3,2,4,4,3,4,4,2
CTRL,BEFORE,2,2,3,3,4,3,3,4
CTRL,BEFORE,2,2,2,4,3,2,2,3
CTRL,BEFORE,2,4,2,3,3,4,4,3
CTRL,BEFORE,3,4,3,3,4,3,4,3
CTRL,BEFORE,4,4,2,3,4,2,3,3
CTRL,BEFORE,4,2,3,3,1,1,3,4
CTRL,BEFORE,2,4,4,4,3,1,1,3
CTRL,BEFORE,2,2,3,3,4,4,3,3
CTRL,BEFORE,4,2,3,2,4,2,4,2
CTRL,BEFORE,4,4,4,3,2,2,3,2
CTRL,BEFORE,3,2,3,3,2,3,4,3
