Group,AssessmentPeriod,ScienceAttitudeScore,CorrectResponses
CTRL,Before,41,42.8571428571429
CTRL,Before,41,42.8571428571429
CTRL,Before,33,38.0952380952381
CTRL,Before,23,28.5714285714286
CTRL,Before,40,9.52380952380952
CTRL,Before,27,19.047619047619
CTRL,Before,27,38.0952380952381
CTRL,Before,24,9.52380952380952
CTRL,Before,45,38.0952380952381
CTRL,Before,35,9.52380952380952
CTRL,Before,34,4.76190476190476
CTRL,Before,27,33.3333333333333
CTRL,Before,42,28.5714285714286
CTRL,Before,37,9.52380952380952
CTRL,Before,47,0
CTRL,Before,43,42.8571428571429
CTRL,Before,25,47.6190476190476
CTRL,Before,16,14.2857142857143
CTRL,Before,24,38.0952380952381
CTRL,Before,37,19.047619047619
CTRL,Before,26,4.76190476190476
CTRL,Before,47,14.2857142857143
CTRL,Before,41,42.8571428571429
CTRL,Before,49,47.6190476190476
CTRL,Before,19,42.8571428571429
CTRL,Before,42,28.5714285714286
CTRL,Before,39,23.8095238095238
CTRL,Before,26,9.52380952380952
CTRL,Before,36,38.0952380952381
CTRL,Before,38,47.6190476190476
CTRL,Before,24,33.3333333333333
CTRL,Before,31,33.3333333333333
CTRL,Before,35,23.8095238095238
CTRL,Before,48,47.6190476190476
CTRL,Before,37,28.5714285714286
CTRL,Before,46,38.0952380952381
CTRL,Before,36,47.6190476190476
CTRL,Before,41,23.8095238095238
CTRL,Before,50,23.8095238095238
CTRL,Before,32,28.5714285714286
CTRL,Before,10,9.52380952380952
CTRL,Before,47,38.0952380952381
CTRL,Before,21,9.52380952380952
CTRL,Before,43,9.52380952380952
CTRL,Before,50,9.52380952380952
CTRL,Before,42,23.8095238095238
CTRL,Before,44,4.76190476190476
CTRL,Before,44,42.8571428571429
CTRL,Before,44,9.52380952380952
CTRL,Before,47,47.6190476190476
CTRL,Before,47,19.047619047619
CTRL,Before,37,19.047619047619
CTRL,Before,44,0
CTRL,Before,39,28.5714285714286
CTRL,Before,40,19.047619047619
CTRL,Before,45,14.2857142857143
CTRL,Before,39,33.3333333333333
CTRL,Before,39,33.3333333333333
CTRL,Before,40,19.047619047619
CTRL,Before,48,38.0952380952381
CTRL,Before,51,9.52380952380952
CTRL,Before,46,9.52380952380952
CTRL,Before,45,0
CTRL,Before,37,4.76190476190476
CTRL,Before,44,47.6190476190476
CTRL,Before,29,19.047619047619
CTRL,Before,38,4.76190476190476
CTRL,Before,30,23.8095238095238
CTRL,Before,45,42.8571428571429
CTRL,Before,22,0
CTRL,Before,44,28.5714285714286
CTRL,Before,45,38.0952380952381
CTRL,Before,39,9.52380952380952
CTRL,Before,15,0
CTRL,Before,26,23.8095238095238
CTRL,Before,39,4.76190476190476
CTRL,Before,42,9.52380952380952
CTRL,Before,40,14.2857142857143
CTRL,Before,14,19.047619047619
CTRL,Before,47,4.76190476190476
CTRL,Before,31,14.2857142857143
CTRL,Before,25,42.8571428571429
CTRL,Before,32,33.3333333333333
CTRL,Before,43,19.047619047619
CTRL,Before,36,42.8571428571429
CTRL,Before,47,19.047619047619
CTRL,Before,41,42.8571428571429
CTRL,Before,49,9.52380952380952
CTRL,Before,15,23.8095238095238
CTRL,Before,42,28.5714285714286
